Player,Season,Club,Competition,Apps,Goals
Danny Ward,2010-11,Tamworth (loan),Conference Premier,1,0
Danny Ward,2014-15,Liverpool,Premier League,0,0
Danny Ward,2014-15,Morecambe (loan),League Two,5,0
Danny Ward,2015-16,Liverpool,Premier League,2,0
Danny Ward,2015-16,Aberdeen (loan),Scottish Premiership,21,0
Danny Ward,2016-17,Huddersfield Town (loan),Championship,43,0
Danny Ward,2017-18,Liverpool,Premier League,0,0
Danny Ward,2018-19,Leicester City,Premier League,0,0
Danny Ward,2019-20,Leicester City,Premier League,0,0
Danny Ward,2020-21,Leicester City,Premier League,0,0
Danny Ward,2021-22,Leicester City,Premier League,1,0
Danny Ward,2022-23,Leicester City,Premier League,26,0
Danny Ward,2023-24,Leicester City,Championship,0,0
Danny Ward,2024-25,Leicester City,Premier League,2,0
Arthur Okonkwo,2022-23,Crewe Alexandra (loan),League Two,23,0
Arthur Okonkwo,2022-23,Sturm Graz (loan),Austrian Bundesliga,15,0
Arthur Okonkwo,2023-24,Wrexham (loan),League Two,36,0
Liberato Cacace,2017-18,Wellington Phoenix,A-League,7,0
Liberato Cacace,2018-19,Wellington Phoenix,A-League,25,1
Liberato Cacace,2019-20,Wellington Phoenix,A-League,24,3
Liberato Cacace,2020-21,Sint-Truiden,Belgian First Division A,27,0
Liberato Cacace,2021-22,Sint-Truiden,Belgian First Division A,23,0
Liberato Cacace,2021-22,Empoli (loan),Serie A,10,0
Liberato Cacace,2022-23,Empoli,Serie A,12,0
Liberato Cacace,2023-24,Empoli,Serie A,31,0
Liberato Cacace,2024-25,Empoli,Serie A,33,2
George Thomason,2019-20,Longridge Town,NWCFL Premier Division,26,2
George Thomason,2019-20,Bolton Wanderers,League One,0,0
George Thomason,2020-21,Bolton Wanderers,League Two,24,1
George Thomason,2021-22,Bolton Wanderers,League One,13,1
George Thomason,2022-23,Bolton Wanderers,League One,20,0
George Thomason,2023-24,Bolton Wanderers,League One,39,6
George Thomason,2024-25,Bolton Wanderers,League One,38,4
Sebastian Revan,2020-24,Aston Villa,Premier League,0,0
Sebastian Revan,2021-22,Grimsby Town (loan),National League,7,0
Sebastian Revan,2021-22,Hereford (loan),National League North,24,1
Sebastian Revan,2023-24,Rotherham United (loan),Championship,36,1
Dominic Hyam,2014-15,Hemel Hempstead Town (loan),Conference South,14,0
Dominic Hyam,2015-16,Basingstoke Town (loan),National League South,5,1
Dominic Hyam,2015-16,Dagenham & Redbridge (loan),League Two,16,0
Dominic Hyam,2016-17,Portsmouth (loan),League Two,0,0
Dominic Hyam,2016-17,Aldershot Town (loan),National League,3,0
Dominic Hyam,2017-18,Coventry City,League Two,14,0
Dominic Hyam,2018-19,Coventry City,League One,38,1
Dominic Hyam,2019-20,Coventry City,League One,29,2
Dominic Hyam,2020-21,Coventry City,Championship,43,3
Dominic Hyam,2021-22,Coventry City,Championship,43,2
Dominic Hyam,2022-23,Coventry City,Championship,2,0
Dominic Hyam,2022-23,Blackburn Rovers,Championship,37,1
Dominic Hyam,2023-24,Blackburn Rovers,Championship,35,1
Dominic Hyam,2024-25,Blackburn Rovers,Championship,46,2
Zak Vyner,2015-16,Bristol City,Championship,4,0
Zak Vyner,2016-17,Bristol City,Championship,3,0
Zak Vyner,2016-17,Accrington Stanley (loan),League Two,16,0
Zak Vyner,2017-18,Bristol City,Championship,1,0
Zak Vyner,2017-18,Plymouth Argyle (loan),League One,17,1
Zak Vyner,2018-19,Bristol City,Championship,0,0
Zak Vyner,2018-19,Rotherham United (loan),Championship,31,0
Zak Vyner,2019-20,Bristol City,Championship,8,0
Zak Vyner,2019-20,Aberdeen (loan),Scottish Premiership,16,1
Zak Vyner,2020-21,Bristol City,Championship,43,2
Zak Vyner,2021-22,Bristol City,Championship,22,0
Zak Vyner,2022-23,Bristol City,Championship,45,1
Zak Vyner,2023-24,Bristol City,Championship,36,0
Zak Vyner,2024-25,Bristol City,Championship,47,1
Zak Vyner,2025-26,Bristol City,Championship,27,0
T. O'Connor,2019-20,Southampton,Premier League,0,0
T. O'Connor,2019-20,Gillingham (loan),League One,28,1
T. O'Connor,2020-21,Southampton,Premier League,0,0
T. O'Connor,2020-21,Gillingham (loan),League One,34,0
T. O'Connor,2021-22,Burton Albion,League One,18,5
Max Cleworth,2019-20,Wrexham,National League,4,0
Max Cleworth,2020-21,Wrexham,National League,1,0
Max Cleworth,2020-21,Caernarfon Town (loan),Cymru Premier,16,2
Max Cleworth,2021-22,Wrexham,National League,36,0
Max Cleworth,2022-23,Wrexham,National League,27,0
Max Cleworth,2023-24,Wrexham,League Two,31,1
Max Cleworth,2024-25,Wrexham,League One,47,7
Callum Doyle,2020-21,Manchester City,Premier League,0,0
