Snapshot_Date,Name,Position,Age,OVR,Height,Weight,Pref_Foot,Squad_Role,Contract_Length,Wage,Market_Value,Status,Pace,Shooting,Passing,Dribbling,Defending,Physical,Acceleration,Agility,Balance,Jumping,Sprint_Speed,Stamina,Strength,Aggression,Att_Position,Composure,Interceptions,Reactions,Vision,Ball_Control,Crossing,Curve,Def_Aware,Dribbling_Tech,FK_Acc,Finishing,Heading_Acc,Long_Pass,Long_Shots,Penalties,Short_Pass,Shot_Power,Slide_Tackle,Stand_Tackle,Volleys,Skill_Moves,Weak_Foot,PlayStyles,Roles,Development_Plan,Notes,Potential
2027-05-23,Arthur Okonkwo,GK,25,76,"6'5""",185lbs,Right,Important,2y,29500,3800000,At The Club Since 2024,43,74,75,80,76,74,43,42,30,62,43,28,60,26,5,52,14,67,42,,,,,,,,,,,,,,,,,4,5,"Far Throw, Cross Claimer",6,Dynamic,GK: Div 74/Han 76/Kic 74/Ref 80/Spd 43/Pos 75. Development Complete (76 OVR). Roles: Goalkeeper++/Ball-Playing Keeper++/Sweeper Keeper++. End-of-season review 2027-05-23.,
2027-05-23,Bernt Klaverboer,GK,21,75,"6'3""",171lbs,Right,Important,3y 10m,15000,5000000,At Club Since 2026,33,85,71,74,74,74,33,25,23,55,34,28,70,24,7,36,13,77,35,,,,,,,,,,,,,,,,,1,4,Footwork,2,Ball-Playing Keeper,"GK: Div 74/Han 74/Kic 85/Ref 74/Spd 33/Pos 71. Dev Ball-Playing Keeper 75, progress capped this cycle. Roles: Goalkeeper++. End-of-season review 2027-05-23.",
2027-05-23,Mason Webber,GK,18,66,"6'2""",167lbs,Right,Prospect,3y 3m,$1.77K,1100000,On Loan at Samsunspor (back 31 Aug 2028),39,53,64,75,66,61,37,44,41,58,41,26,55,36,9,29,18,64,36,,,,,,,,,,,,,,,,,1,5,None,6,N/A,"GK: Div 61/Han 66/Kic 53/Ref 75/Spd 39/Pos 64. On loan at Samsunspor, back 01 Jan 2029. Roles: Goalkeeper++/Ball-Playing Keeper++/Sweeper Keeper++. End-of-season review 2027-05-23.",75-81
2027-05-23,Nico Kopp,GK,18,64,"6'7""",191lbs,Left,Prospect,3y5m,4720,1300000,On Loan at FC Basel (back 20 Mar 2028),41,54,68,65,69,59,41,43,40,49,40,33,49,23,10,35,22,60,36,,,,,,,,,,,,,,,,,1,3,"Long Ball Pass, Cross Claimer",2,Balanced,GK: Div 59/Han 69/Kic 54/Ref 65/Spd 41/Pos 68. Roles: Goalkeeper+/Ball-Playing Keeper+. Joining FC Basel 1893 when the loan ends. End-of-season review 2027-05-23.,77-83
2027-05-23,Jorthy Mokio,CDM/CM/LB,19,75,"6'0""",158lbs,Left,Important,4y11m,26000,7000000,Showing Great Potential — Contract already accepted (signed from Ajax),77,55,72,78,72,70,74,65,65,73,77,72,76,51,25,73,74,73,74,83,67,39,73,79,27,63,63,75,49,40,83,54,73,73,47,2,5,None,4,Attacking Wingback,LB: Falseback+/Attacking Wingback+/Inverted Wingback/Fullback/Wingback. CDM: Box Crasher/Wide Half+/Centre-Half/Holding+/Deep-Lying Playmaker. CM: Half-Winger/Holding/Deep-Lying Playmaker. Not willing to negotiate new terms. End-of-season review 2027-05-23.,
2027-05-23,Jermaine Lord,LB,19,70,"5'7""",152lbs,Left,Sporadic,3y5m,16000,2700000,On Loan at AZ,86,43,54,60,68,67,88,69,71,55,84,72,67,65,44,48,75,66,44,60,59,53,65,58,39,42,62,44,40,42,62,48,73,66,38,2,5,None,7,N/A,"LB: Attacking Wingback++/Fullback++/Wingback++. CB: Wide Back+. LW: Winger/Wide Playmaker/Inside Forward. On loan at AZ, back 01 Jan 2029. Contract already accepted. End-of-season review 2027-05-23.",78-84
2027-05-23,Andrés Cuenca,CB,19,68,"6'0""",163lbs,Left,Sporadic,3y10m,14000,1900000,On Loan at Ipswich Town (back 09 Jul 2027),78,43,71,72,66,67,68,64,65,78,87,64,67,66,46,63,64,68,68,80,66,59,66,71,46,39,63,71,49,43,81,44,70,66,41,3,3,None,3,N/A,"CB: Defender++/Stopper/Wide Back/Ball-Playing Defender+. On loan at Ipswich, back 01 Jul 2027. Happy with current terms. End-of-season review 2027-05-23.",
2027-05-23,Ayden Heaven,CB,20,79,"6'2""",185lbs,Left,Crucial,3y10m,46000,18000000,An Exciting Prospect — Contract already accepted (signed from Manchester United),74,34,61,72,81,77,72,65,60,85,75,70,81,73,39,76,79,76,56,73,43,48,85,73,34,29,73,64,32,45,78,44,82,81,34,4,5,,6,Ball-Playing Defender,CB: Defender++/Stopper/Wide Back++/Ball-Playing Defender++. Not willing to negotiate new terms. End-of-season review 2027-05-23.,
2027-05-23,Max Cleworth,CB,24,72,"6'3""",191lbs,Right,Important,3y,21000,3000000,At Club Since 2020,74,27,56,63,72,77,72,69,58,78,75,74,81,68,30,69,75,66,60,62,35,47,73,62,21,26,70,64,22,28,69,36,75,68,22,2,5,Precision Header/Long Ball Pass/Jockey/Anticipate/Aerial Fortress/Long Throw,4,Wide Back,CB: Defender++/Stopper/Wide Back++/Ball-Playing Defender. Willing to negotiate new terms. End-of-season review 2027-05-23.,
2027-05-23,Callum Doyle,CB/LB,23,77,"6'3""",187lbs,Left,Important,3y,25000,9000000,At The Club Since 2025,69,44,71,70,77,81,71,70,58,80,68,79,84,74,62,73,82,72,65,70,64,60,79,70,42,32,71,72,50,44,85,62,79,74,47,3,5,"Long Ball Pass, Intercept, Anticipate",5,Wide Back,CB: Wide Back++/Ball-Playing Defender++. LB: Fullback+. Not willing to negotiate new terms. End-of-season review 2027-05-23. (Technical breakdown not captured this session.),
