Name,Position,Age,OVR,Height,Weight,Pref_Foot,Squad_Role,Contract_Length,Wage,Market_Value,Status,Pace,Shooting,Passing,Dribbling,Defending,Physical,Acceleration,Agility,Balance,Jumping,Sprint_Speed,Stamina,Strength,Aggression,Att_Position,Composure,Interceptions,Reactions,Vision,Ball_Control,Crossing,Curve,Def_Aware,Dribbling_Tech,FK_Acc,Finishing,Heading_Acc,Long_Pass,Long_Shots,Penalties,Short_Pass,Shot_Power,Slide_Tackle,Stand_Tackle,Volleys,Skill_Moves,Weak_Foot,PlayStyles,Roles,Development_Plan,Notes,Potential
Nathaniel Matthews,RW,16,61,"5'6""",138lbs,Right,Academy,,,,Academy Player,71,52,59,62,32,49,71,79,66,50,71,59,49,38,60,59,33,50,62,70,59,41,31,53,35,54,38,55,54,48,66,47,27,32,43,5,5,"Pinged Pass, Whipped Pass",1,Wide Playmaker,"England. Dev Wide Playmaker 61→62 ETA 7w. RW Winger/Wide Playmaker+/Inside Forward. PlayStyles: Pinged Pass (regular), Whipped Pass (regular).",75-81
Ben Forster,CM,15,60,"5'11""",163lbs,Left,Academy,,,,Academy Player,62,49,57,62,48,54,66,61,59,50,59,66,51,45,50,40,57,49,61,67,47,43,42,62,36,51,40,58,49,45,64,50,48,52,34,5,5,"Power Shot, Tiki Taka, Aerial Fortress",1,Box-to-Box,"England. Dev Box-to-Box 60→61 ETA 1w. CM Half-Winger/Holding/Deep-Lying Playmaker/Box-to-Box/Playmaker+. CB Defender/Stopper/Wide Back/Ball-Playing Defender. PlayStyles: Power Shot (regular), Tiki Taka (regular), Aerial Fortress (regular).",79-85
Martin Leon,CM,15,55,"5'3""",145lbs,Right,Academy,,,,Academy Player,61,48,51,55,44,47,64,58,52,48,59,64,39,47,50,47,56,50,54,59,43,39,38,53,33,48,33,56,46,42,56,52,41,46,35,5,5,Dead Ball,2,Half-Winger,Argentina. Dev Half-Winger 55→56 ETA 12w. CM Half-Winger/Holding/Deep-Lying Playmaker+/Box-to-Box/Playmaker+. PlayStyles: Dead Ball (regular).,78-84
Fabricio Sandoval,CAM,17,62,"5'7""",145lbs,Left,Academy,,,,Academy Player,78,46,60,68,35,53,78,69,75,50,78,68,47,50,50,51,33,60,65,68,57,46,34,69,47,44,44,58,45,47,63,48,41,32,46,5,3,"""Pinged Pass, Enforcer""",3,Half-Winger,"Argentina. Dev Half-Winger 62→63 ETA 4w. CAM Half-Winger/Shadow Striker+/Classic 10/Playmaker+. LW Winger+/Wide Playmaker/Inside Forward. PlayStyles: Pinged Pass (regular), Enforcer (regular).",74-80
Mathieu Drouet,ST,15,51,"5'6""",141lbs,Left,Academy,,,,Academy Player,62,47,42,51,26,50,60,67,56,56,63,54,52,40,57,43,29,49,46,58,37,40,21,43,37,47,39,38,40,51,44,48,25,24,49,4,4,"Acrobatic, Low Driven Shot, Rapid, Relentless",3,Balanced,"France. Dev Balanced 51→52 ETA 16w. ST Target Forward/False 9+/Poacher+/Advanced Forward+. PlayStyles: Acrobatic (regular), Low Driven Shot (regular), Rapid (regular), Relentless (regular).",84-90
Jules Collin,RW,16,61,"5'8""",143lbs,Right,Academy,,,,Academy Player,80,48,52,66,32,52,82,82,70,52,79,65,50,43,49,46,34,55,54,68,58,46,30,65,42,46,46,49,44,54,50,56,27,30,48,3,5,,1,Balanced,"France. Dev Balanced 61→62 ETA 3w. Signed from academy scouting in France, 2026-08-15. RW Winger+/Wide Playmaker/Inside Forward. PlayStyles tab shows no confirmed icons yet.",80-90
Stephane Bertrand,RW,15,59,"5'6""",141lbs,Right,Academy,,,,Academy Player,76,52,49,62,30,51,72,72,68,46,79,62,49,44,55,42,31,51,53,62,55,48,31,62,36,56,35,43,43,42,49,54,30,28,51,5,4,,1,Inside Forward,"France. Dev Inside Forward 59→60 ETA 8w. Signed from academy scouting in France, 2026-08-15. RW Winger+/Wide Playmaker/Inside Forward. One PlayStyle icon shown but name not legible in screenshot -- left unconfirmed.",88-94
Mika Horn,GK,16,60,"6'8""",189lbs,Right,Academy,,,,Academy Player,35,62,58,68,57,53,33,38,39,46,38,33,49,24,11,34,16,62,35,,,,,,,,,,,,,,,,,1,5,,2,Goalkeeper,Germany. Dev Goalkeeper 60→61 ETA 9w. Signed 2026-10-25. GK: Div 53/Han 57/Kic 62/Ref 68/Spd 35/Pos 58 (Significant Growth across the board). Roles: Ball-Playing Keeper+/Sweeper Keeper+. No PlayStyles confirmed on the PlayStyles tab (all diamonds unfilled).,79-87
Thierry Besse,RW,16,56,"5'8""",154lbs,Right,Academy,,,,Academy Player,77,45,50,59,33,48,79,79,64,53,75,60,46,39,48,52,32,56,56,60,52,45,33,55,44,42,42,49,42,48,48,51,25,34,50,5,3,"Acrobatic, Whipped Pass",1,Winger,"France. Dev Winger 56→57 ETA 5w. Signed from academy scouting in France, 2026-12-15, alongside fellow countryman Nathan Salaun. RW Winger+/Wide Playmaker/Inside Forward. PlayStyles: Acrobatic (regular), Whipped Pass (regular).",80-94
Nathan Salaun,ST,16,52,"5'10""",158lbs,Right,Academy,,,,Academy Player,63,50,44,51,26,54,65,70,54,58,62,60,53,49,56,45,27,55,43,54,38,39,24,45,38,50,45,40,44,47,52,54,20,22,51,5,5,,1,Advanced Forward,"France. Dev Advanced Forward 52→53 ETA 3w. Signed from academy scouting in France, 2026-12-15, alongside fellow countryman Thierry Besse. ST Target Forward/False 9/Poacher+/Advanced Forward. No PlayStyles confirmed on the PlayStyles tab (all diamonds unfilled).",81-87
